MnFeCoNiAl
increment: 10
strain_r: 0.001
temperature: 300
e: Mn-Co, Fe-Ni,Al
ratio:50.0:50.0,33.0:67.0,100
data:
Mn,Fe,Co,Ni,Al
12.60,12.09,11.12,10.94,16.472
338.84,26.375,262.89,199.1,65.498
130.52,8.9429,101.66,76.0,23.922
Start of Predicted Data
psA,psB,psC,Mn,Co,Fe,Ni,Al,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,Ty0_tensile,Delta_Eb,Delta_sigma_ss
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.472000000000005,7071067811.865475,65.498,23.921999999999997,0.36899088704957816,0.0,23047.135088578856,8.244561007485862e+28,0.0
0.0,0.1,0.9,0.0,0.0,0.033,0.067,0.9,15.957133333333337,7071067811.865475,73.1007,26.894563333333327,0.35902373825490663,1.9321424391111142e-59,25322.35713638409,9.26903553930938e+28,0.0
0.0,0.2,0.8,0.0,0.0,0.067,0.133,0.8,15.442266666666669,7071067811.865475,80.7034,29.867126666666664,0.35104057549113654,3.4401445831111163e-59,27612.06122705734,1.0293510071132901e+29,0.0
0.0,0.3,0.7,0.0,0.0,0.1,0.2,0.7,14.927400000000002,7071067811.865475,88.3061,32.83969,0.34450264299084443,4.524006432000008e-59,29911.920622285208,1.131798460295642e+29,0.0
0.0,0.4,0.6,0.0,0.0,0.133,0.267,0.6,14.412533333333336,7071067811.865475,95.9088,35.81225333333334,0.33905006070547916,5.183727985777785e-59,32219.176056308504,1.2342459134779938e+29,0.0
0.0,0.5,0.5,0.0,0.0,0.167,0.333,0.5,13.89766666666667,7071067811.865475,103.5115,38.784816666666664,0.3344332769395584,5.419309244444453e-59,34531.98486308696,1.3366933666603456e+29,0.0
0.0,0.6,0.4,0.0,0.0,0.2,0.4,0.4,13.3828,7071067811.865475,111.1142,41.75738,0.3304737988829758,5.230750208000008e-59,36849.06955470486,1.4391408198426975e+29,0.0
0.0,0.7,0.3,0.0,0.0,0.233,0.467,0.3,12.867933333333333,7071067811.865475,118.7169,44.72994333333333,0.32704058124225965,4.618050876444452e-59,39169.51656591452,1.5415882730250492e+29,0.0
0.0,0.8,0.2,0.0,0.0,0.267,0.533,0.2,12.353066666666667,7071067811.865475,126.3196,47.70250666666667,0.32403524287193286,3.581211249777783e-59,41492.655279758386,1.6440357262074014e+29,0.0
0.0,0.9,0.1,0.0,0.0,0.3,0.6,0.1,11.8382,7071067811.865475,133.9223,50.67507,0.321382486496812,2.1202313280000035e-59,43817.98230175175,1.7464831793897528e+29,0.0
0.0,1.0,0.0,0.0,0.0,0.333,0.667,0.0,11.323333333333336,7071067811.865475,141.525,53.64763333333334,0.31902370343767883,2.3511111111111132e-60,46145.11239603275,1.848930632572105e+29,0.0
0.1,0.0,0.9,0.05,0.05,0.0,0.0,0.9,16.010800000000003,7071067811.865475,89.0347,33.138799999999996,0.3433603510084857,1.5752871680000028e-59,30106.255078314112,1.1421070910244654e+29,0.0
0.1,0.1,0.8,0.05,0.05,0.033,0.067,0.8,15.495933333333335,7071067811.865475,96.6374,36.11136333333333,0.33804696194891215,3.12749919644445e-59,32414.744069772136,1.244554544206817e+29,0.0
0.1,0.2,0.7,0.05,0.05,0.067,0.133,0.7,14.981066666666669,7071067811.865475,104.2401,39.08392666666666,0.3335418020946037,4.2555709297777845e-59,34728.533514836556,1.3470019973891689e+29,0.0
0.1,0.3,0.6,0.05,0.05,0.1,0.2,0.6,14.466200000000002,7071067811.865475,111.8428,42.05649,0.32967349391259226,4.959502368000008e-59,37046.4142238737,1.4494494505715208e+29,0.0
0.1,0.4,0.5,0.05,0.05,0.133,0.267,0.5,13.951333333333336,7071067811.865475,119.4455,45.02905333333334,0.3263159133703011,5.23929351111112e-59,39367.518817310156,1.5518969037538724e+29,0.0
0.1,0.5,0.4,0.05,0.05,0.167,0.333,0.4,13.43646666666667,7071067811.865475,127.0482,48.00161666666667,0.32337417802247614,5.09494435911112e-59,41691.20892021633,1.6543443569362247e+29,0.0
0.1,0.6,0.3,0.05,0.05,0.2,0.4,0.3,12.921600000000002,7071067811.865475,134.6509,50.97418,0.3207755377330248,4.526454912000007e-59,44017.00426491351,1.756791810118576e+29,0.0
0.1,0.7,0.2,0.05,0.05,0.233,0.467,0.2,12.406733333333335,7071067811.865475,142.2536,53.94674333333333,0.3184632770232718,3.5338251697777834e-59,46344.53659671472,1.8592392633009282e+29,0.0
0.1,0.8,0.1,0.05,0.05,0.267,0.533,0.1,11.891866666666669,7071067811.865475,149.8563,56.91930666666667,0.3163925280888873,2.117055132444448e-59,48673.51881707845,1.9616867164832803e+29,0.0
0.1,0.9,0.0,0.05,0.05,0.3,0.6,0.0,11.377,7071067811.865475,157.459,59.89187,0.3145273306710912,2.761448000000002e-60,51003.723794487836,2.0641341696656317e+29,0.0
