MnFeCoNiAl
strain_r: 0.001
temperature: 300
element: Mn-Fe, Co-Ni, Al
ratio:50.0:50.0,50.0:50.0,100
structure: fcc
data:
Mn,Fe,Co,Ni,Al
12.60,12.09,11.12,10.94,16.472
338.84,26.375,262.89,199.1,65.498
130.52,8.9429,101.66,76.0,23.922
Start of Predicted Data
psA,psB,psC,Mn,Fe,Co,Ni,Al,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,tau_y0,Delta_Eb,Delta_sigma_ss
0.1,0.1,0.8,0.05,0.05,0.05,0.05,0.8,15.515100000000002,2.7995605110201973,93.75865,34.993745,0.3396487000748276,0.007802488952656587,126.89277672468921,1.183127986964445,194.64568641885063
0.1,0.2,0.7,0.05,0.05,0.1,0.1,0.7,14.9709,2.766438175941768,110.30835,41.484545,0.32951138791566836,0.012004547999253514,194.47073857977898,1.5387982850018005,346.00761144504395
0.1,0.3,0.6,0.05,0.05,0.15,0.15,0.6,14.426700000000004,2.7325031182194732,126.85805,47.975345,0.32211712078360244,0.015407467904371343,259.81396418428625,1.843192886014839,499.99458947324035
0.1,0.4,0.5,0.05,0.05,0.2,0.2,0.5,13.882500000000004,2.6977035699894634,143.40775,54.466145,0.31648522215038355,0.01778086185447565,319.1457995325396,2.094541908261397,643.7812686253958
0.1,0.5,0.4,0.05,0.05,0.25,0.25,0.4,13.3383,2.661982276858876,159.95745,60.956945,0.31205271195923623,0.01883357430823911,366.30516032121204,2.280851880811315,760.0065163443498
0.1,0.6,0.3,0.05,0.05,0.3,0.3,0.3,12.794100000000002,2.6252756651201485,176.50715,67.447745,0.3084733225699392,0.01819561967777461,391.9431660787789,2.38050168435123,824.0528949376361
0.1,0.7,0.2,0.05,0.05,0.35,0.35,0.2,12.249900000000002,2.5875128411023143,193.05685,73.938545,0.30552237672515736,0.015393876617034626,381.0139134820587,2.3528914836405352,798.2258351839112
0.1,0.8,0.1,0.05,0.05,0.4,0.4,0.1,11.705700000000002,2.548614379708452,209.60655,80.429345,0.3030477246830743,0.009819018739576222,304.8874049112149,2.0976734634717498,615.335722740876
0.1,0.9,0.0,0.05,0.05,0.45,0.45,0.0,11.1615,2.5084908456445985,226.15625,86.920145,0.3009426640970283,0.0006799807276634472,55.22238676093276,0.8849196891460609,66.70478923765715
0.2,0.0,0.8,0.1,0.1,0.0,0.0,0.8,15.646600000000003,2.8074476016607295,88.9199,33.08389,0.3438549698962243,0.005592250130602454,97.30777774376479,1.0159340778162147,133.38880975642573
0.2,0.1,0.7,0.1,0.1,0.05,0.05,0.7,15.102400000000003,2.7745144362392535,105.4696,39.57469,0.33253854925964044,0.009877946184656605,164.38793255959612,1.3939692162274986,278.1417753394808
0.2,0.2,0.6,0.1,0.1,0.1,0.1,0.6,14.558200000000003,2.7407803149775827,122.0193,46.06549,0.3244111806907948,0.0134034663908113,228.899131398311,1.7107284901244917,427.2506469342149
0.2,0.3,0.5,0.1,0.1,0.15,0.15,0.5,14.014000000000001,2.7061946865493893,138.569,52.55629,0.31829130252534954,0.01594947795176128,287.96669891034827,1.9729182223910138,568.6689049410859
