FeCoNi
strain_r: 0.001
temperature: 300
element: Co, Fe, Ni
ratio:100,100,100
structure: fcc
data:
Fe,Co,Ni
12.09,11.12,10.94
26.375,262.89,199.1
8.9429,101.66,76.0
Start of Predicted Data
psA,psB,psC,Co,Fe,Ni,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,tau_y0,Delta_Eb,Delta_sigma_ss
0.0,0.0,1.0,0.0,0.0,1.0,10.940000000000001,2.49178618269661,199.1,76.0,0.3098684210526317,0.0,0.0,0.0,nan
0.0,0.05,0.95,0.0,0.05,0.95,10.9975,2.49614411737577,190.46375,72.647145,0.3108825542972129,0.00025969964344848493,25.016700107735613,0.5365148465292728,11.871285789617714
0.0,0.1,0.9,0.0,0.1,0.9,11.055000000000001,2.5004868882116384,181.8275,69.29429,0.31199482670217127,0.0004869570980670806,36.40393453400938,0.6353969425014893,27.312400969319626
0.0,0.15,0.85,0.0,0.15,0.85,11.1125,2.5048146264297375,173.19125,65.941435,0.31322020820444685,0.0006827352430215013,43.553513031097076,0.6815003029414977,37.2661214165463
0.0,0.2,0.8,0.0,0.2,0.8,11.170000000000002,2.509127461448002,164.555,62.58858,0.31457687648449606,0.0008479677227257701,47.95723607309189,0.7003115383122173,42.9357911892102
0.0,0.25,0.75,0.0,0.25,0.75,11.227500000000001,2.5134255209108387,155.91875,59.235725,0.3160871247882928,0.0009835599351304036,50.33065615314484,0.701543654536863,45.18830232333777
0.0,0.3,0.7,0.0,0.3,0.7,11.285,2.5177089307223732,147.2825,55.88287,0.3177785965538278,0.0010903899825070323,51.11628302685991,0.6902144296041314,44.687533199333544
0.0,0.35,0.65,0.0,0.35,0.65,11.342500000000001,2.521977815078912,138.64625,52.530015,0.31968599285570365,0.001169309586317648,50.62658586425284,0.6693686333487772,41.973745188597874
0.0,0.4,0.6,0.0,0.4,0.6,11.4,2.5262322965006274,130.01,49.17716,0.32185347832205036,0.0012211449676823552,49.10109190207654,0.6410555070015195,37.506931520760524
0.0,0.45,0.55,0.0,0.45,0.55,11.457500000000001,2.5304724958625116,121.37375000000002,45.824305,0.3243381432626202,0.0012466976948887804,46.73394986700568,0.6067608350139012,31.69250373527647
0.0,0.5,0.5,0.0,0.5,0.5,11.515,2.5346985324245943,112.7375,42.47145,0.3272151056768724,0.001246745499319443,43.689015308634154,0.5676257666144455,24.897936306324176
0.0,0.55,0.45,0.0,0.55,0.45,11.572500000000003,2.5389105238614684,104.10125,39.118595,0.33058523702091036,0.0012220430611097053,40.10889130262214,0.5245690085206138,17.46461286547303
0.0,0.6,0.4,0.0,0.6,0.4,11.630000000000003,2.543108586291122,95.465,35.76574,0.3345872334809792,0.00117332276578865,36.12072950461597,0.4783602294277486,9.717240782194375
0.0,0.65,0.35,0.0,0.65,0.35,11.6875,2.547292834303114,86.82875,32.412885,0.33941717931001825,0.0011012954330978787,31.840133759485855,0.4296664034813619,1.9724705080406648
0.0,0.7,0.3,0.0,0.7,0.3,11.745,2.5514633809860996,78.1925,29.06003,0.34536165310221634,0.0010066510191288093,27.373815623863823,0.379081164381293,-5.451652925706965
0.0,0.75,0.25,0.0,0.75,0.25,11.8025,2.5556203379547306,69.55625,25.707175,0.3528567413572281,0.0008900592928673478,22.821210039277002,0.3271402693681296,-12.22289086424674
0.0,0.8,0.2,0.0,0.8,0.2,11.860000000000001,2.5597638153759434,60.92,22.35432,0.3626001596112072,0.0007521704881856573,18.274723723779086,0.27431800747990825,-17.97312170782084
0.0,0.85,0.15,0.0,0.85,0.15,11.9175,2.5638939219946515,52.28375,19.001465,0.3757820778555758,0.0005936159322740487,13.816939428382534,0.22097753120968922,-22.251853845566266
0.0,0.9,0.1,0.0,0.9,0.1,11.975000000000001,2.568010765158866,43.6475,15.64861,0.39461268444928965,0.00041500865146159297,9.507743182791474,0.16715355346804409,-24.394789544804688
0.0,0.95,0.05,0.0,0.95,0.05,12.0325,2.572114450844248,35.01125,12.295755,0.4237128992892263,0.0002169439553318621,5.321508766273114,0.11138182988350064,-22.958243650480043
0.0,1.0,0.0,0.0,1.0,0.0,12.090000000000002,2.576205083678119,26.375,8.9429,0.47463350814612704,0.0,0.0,0.0,nan
0.05,0.0,0.95,0.05,0.0,0.95,10.949000000000002,2.4924693005731147,202.2895,77.283,0.3087580709858573,6.418886738814309e-06,2.244050864968247,0.165004685643353,-5.867114034005091
0.05,0.05,0.9,0.05,0.05,0.9,11.0065,2.496824853044455,193.65325,73.930145,0.3097042485172996,0.00026135529050575574,25.477862311445698,0.5466445175881715,12.906425754081807
0.05,0.1,0.85,0.05,0.1,0.85,11.064000000000002,2.5011652623328775,185.017,70.57729,0.3107403245434899,0.0004839962874257101,36.790969682238504,0.6451768270709648,28.4637148109124
0.05,0.15,0.8,0.05,0.15,0.8,11.121500000000001,2.5054906593786965,176.38075,67.224435,0.3118797502723527,0.0006753002356948975,43.90370773209131,0.6914185590228574,38.493510982887095
0.05,0.2,0.75,0.05,0.2,0.75,11.179000000000002,2.509801173320022,167.7445,63.87158,0.31313880132603567,0.0008361964128666596,48.28051685858767,0.7104053575757934,44.21756751627054
0.05,0.25,0.7,0.05,0.25,0.7,11.2365,2.5140969315266966,159.10825,60.518725,0.3145373601310999,0.0009675859982571583,50.62964268464284,0.7117735724997052,46.508169535830795
0.05,0.3,0.65,0.05,0.3,0.65,11.294,2.518378059633411,150.472,57.16587,0.3160999736381165,0.0010703430180977716,51.390597556334036,0.7005215705123857,46.03189372255102
