MnFeCoNiAlCu
strain_r: 0.001
temperature: 300
element: Mn-Co, Fe-Ni, Al-Cu
ratio:50.0:50.0,50.0:50.0,50.0:50.0
structure: fcc
data:
Mn,Fe,Co,Ni,Al,Cu
12.60,12.09,11.12,10.94,16.472, 11.810
338.84,26.375,262.89,199.1,65.498, 128.6
130.52,8.9429,101.66,76.0,23.922, 48.0
Start of Predicted Data
psA,psB,psC,Mn,Co,Fe,Ni,Al,Cu,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,tau_y0,Delta_Eb,Delta_sigma_ss
0.1,0.75,0.15,0.05,0.05,0.375,0.375,0.075,0.075,11.943400000000002,2.5657499266167174,129.196975,48.8567375,0.3222022346457334,0.006942139463099789,155.54409951969842,1.1914627424838238,239.70333948363296
0.1,0.8,0.1,0.05,0.05,0.4,0.4,0.05,0.05,11.812100000000001,2.5563130529552778,129.9814,49.18226,0.3214256522575416,0.005288766593530814,130.3091741792906,1.0821372297416527,187.698666346719
0.1,0.85,0.05,0.05,0.05,0.425,0.425,0.025,0.025,11.6808,2.546805985838509,130.765825,49.5077825,0.32065928220477247,0.0034325289007016624,98.10481333564601,0.9315753102070282,124.6221258426647
0.1,0.9,0.0,0.05,0.05,0.45,0.45,0.0,0.0,11.5495,2.5372274052356563,131.55025,49.833305,0.31990292435952217,0.0013607922775855533,53.17149563499584,0.6803399186774739,45.362414290731124
0.15,0.0,0.85,0.075,0.075,0.0,0.0,0.425,0.425,13.798850000000003,2.692274248268787,127.6214,47.98035,0.32993402507484837,0.01408563982529814,250.53458695542207,1.7312984141896242,470.007258714211
0.15,0.05,0.8,0.075,0.075,0.025,0.025,0.4,0.4,13.667550000000002,2.6837077668216742,128.405825,48.3058725,0.3290912507583834,0.014310888805540874,254.27440323212613,1.7334265548833436,477.26967594986286
0.15,0.1,0.75,0.075,0.075,0.05,0.05,0.375,0.375,13.536250000000003,2.6750862444571664,129.19025,48.631395,0.3282597589478977,0.014448181483181563,256.9829059758244,1.731698717102124,482.1513089732001
0.15,0.15,0.7,0.075,0.075,0.075,0.075,0.35,0.35,13.40495,2.666408788446888,129.974675,48.9569175,0.3274393245857441,0.014492193747118048,258.59350608177573,1.7260148388246364,484.5014298608994
0.15,0.2,0.65,0.075,0.075,0.1,0.1,0.325,0.325,13.273650000000004,2.6576744826673764,130.7591,49.28244,0.32662972856051775,0.014437281358458117,259.02800088506905,1.716221374602311,484.14751737073755
0.15,0.25,0.6,0.075,0.075,0.125,0.125,0.3,0.3,13.142350000000004,2.6488823867486895,131.543525,49.6079625,0.3258307575119619,0.014277458436279316,258.1947355494171,1.702103254930824,480.8921115321455
0.15,0.3,0.55,0.075,0.075,0.15,0.15,0.275,0.275,13.011050000000001,2.640031535183191,132.32795,49.933485,0.325042203643507,0.014006374302955205,255.98607242860777,1.683371383163378,474.508608292221
0.15,0.35,0.5,0.075,0.075,0.175,0.175,0.25,0.25,12.879750000000001,2.6311209363922243,133.112375,50.2590075,0.32426386454209233,0.013617288547637258,252.2748932969033,1.6596438069955106,464.73560401636956
0.15,0.4,0.45,0.075,0.075,0.2,0.2,0.225,0.225,12.748450000000002,2.6221495717482237,133.8968,50.58453,0.32349554300494643,0.013103044152803164,246.9096894937578,1.6304173867678782,451.2691752483735
0.15,0.45,0.4,0.075,0.075,0.225,0.225,0.2,0.2,12.61715,2.613116394549661,134.681225,50.9100525,0.32273704687301197,0.012456038513630504,239.70749838898357,1.595024415332584,433.75209854486593
0.15,0.5,0.35,0.075,0.075,0.25,0.25,0.175,0.175,12.485850000000001,2.6040203289460404,135.46565,51.235575,0.3219881888707212,0.011668192163155849,230.4433962433929,1.5525641038873426,411.7583348483588
0.15,0.55,0.3,0.075,0.075,0.275,0.275,0.15,0.15,12.354550000000001,2.5948602688099465,136.250075,51.5610975,0.3212487864518401,0.010730914997532993,218.83417656052754,1.5017895194692754,384.7698125481638
0.15,0.6,0.25,0.075,0.075,0.3,0.3,0.125,0.125,12.223250000000002,2.585635076552944,137.0345,51.88662,0.32051866165111553,0.009635069774988136,204.51154022907127,1.4409097543050493,352.1399175750492
0.15,0.65,0.2,0.075,0.075,0.325,0.325,0.1,0.1,12.09195,2.5763435818819063,137.818925,52.2121425,0.31979764094147267,0.008370932639027655,186.97471560345699,1.367215670568079,313.03226666739585
0.15,0.7,0.15,0.075,0.075,0.35,0.35,0.075,0.075,11.960650000000001,2.5669845804920954,138.60335,52.537665,0.3190855550965197,0.006928150390799415,165.49798511671654,1.2762918842185176,266.3088339558961
0.15,0.75,0.1,0.075,0.075,0.375,0.375,0.05,0.05,11.82935,2.5575568326930243,139.387775,52.8631875,0.3183822390581348,0.005295694206912475,138.92243587418272,1.1600781218172034,210.29941832515144
0.15,0.8,0.05,0.075,0.075,0.4,0.4,0.025,0.025,11.698050000000002,2.5480590619628902,140.1722,53.18871,0.31768753180891207,0.003461809467108267,105.06633595930725,1.0007336016472255,142.23151564942987
0.15,0.85,0.0,0.075,0.075,0.425,0.425,0.0,0.0,11.566750000000003,2.538489953426982,140.956625,53.5142325,0.3170012762492669,0.0014139613205264594,58.07455743604379,0.7379083772788163,56.30101328671059
0.2,0.0,0.8,0.1,0.1,0.0,0.0,0.4,0.4,13.684800000000003,2.684836340134491,137.8122,51.9868,0.32545376903367784,0.01412061896189156,268.2888213244646,1.8494805696575842,516.9947788412942
0.2,0.05,0.75,0.1,0.1,0.025,0.025,0.375,0.375,13.553500000000003,2.6762220994087254,138.596625,52.3123225,0.3247034195432634,0.014266540591003964,271.21796001622886,1.8474647907918291,522.4157717790206
0.2,0.1,0.7,0.1,0.1,0.05,0.05,0.35,0.35,13.422200000000002,2.667552043639548,139.38105,52.637845,0.3239623506623419,0.014319804032194102,272.98094763643286,1.841206127656341,525.1106125087259
0.2,0.15,0.65,0.1,0.1,0.075,0.075,0.325,0.325,13.290900000000002,2.6588252598248556,140.165475,52.9633675,0.3232303912699659,0.014274804523072405,273.4964619064808,1.8305497170913532,524.8972438871878
0.2,0.2,0.6,0.1,0.1,0.1,0.1,0.3,0.3,13.159600000000001,2.6500408108301445,140.9499,53.28889,0.3225073744264517,0.014125598387162151,272.66902195514257,1.8152749416877998,521.566702457732
0.2,0.25,0.55,0.1,0.1,0.125,0.125,0.275,0.275,13.028300000000002,2.641197734502657,141.734325,53.6144125,0.32179313724644465,0.013865880091031353,270.3863594127212,1.7950824545551285,514.8786079298509
0.2,0.3,0.5,0.1,0.1,0.15,0.15,0.25,0.25,12.897000000000002,2.6322950427437215,142.51875,53.939935,0.3210875207765824,0.013488957538085553,266.51577824576003,1.7695745294597833,504.5550734004365
0.2,0.35,0.45,0.1,0.1,0.175,0.175,0.225,0.225,12.765700000000002,2.6233317205368634,143.303175,54.2654575,0.32039036987755987,0.012987725445741415,260.89904149600864,1.738225421045076,490.27236765456684
0.2,0.4,0.4,0.1,0.1,0.2,0.2,0.2,0.2,12.634400000000003,2.6143067249291065,144.0876,54.59098,0.31970153311041494,0.012354636637746575,253.34501539383803,1.7003359472432198,471.6492441750425
